bar_id,section,length_mm,qty,sheet
101,Q345L70X5,5348,1,35A1-JC1-02
102,Q345L70X5,5348,1,35A1-JC1-02
103,Q345L70X5,5348,1,35A1-JC1-02
104,Q345L70X5,5348,1,35A1-JC1-02
105,L40X3,1436,4,35A1-JC1-02
106,L40X3,1436,4,35A1-JC1-02
107,L40X3,1284,4,35A1-JC1-02
108,L40X3,1284,4,35A1-JC1-02
151,\M+5CBA8,109,1,35A1-JC1-02
110,L40X3,1023,8,35A1-JC1-02
111,L40X3,754,4,35A1-JC1-02
112,L40X3,913,8,35A1-JC1-02
113,L40X3,656,4,35A1-JC1-02
-3(%%c17.5),\M+5B9E6\M+5B8F1X\M+5B8F6\M+5CAFD,50,1,35A1-JC1-02
115,L40X3,927,4,35A1-JC1-02
116,L40X3,897,4,35A1-JC1-02
117,L40X3,897,4,35A1-JC1-02
118,L40X3,840,4,35A1-JC1-02
119,L40X3,840,4,35A1-JC1-02
120,L40X4,359,8,35A1-JC1-02
121,L56X4,320,4,35A1-JC1-02
122,L50X4,1609,1,35A1-JC1-02
123,L50X4,1609,1,35A1-JC1-02
124,L50X4,1491,1,35A1-JC1-02
125,L50X4,1491,1,35A1-JC1-02
126,Q345-6X207,320,8,35A1-JC1-02
127,-6X260,305,1,35A1-JC1-02
128,-6X260,305,1,35A1-JC1-02
129,-6X166,188,6,35A1-JC1-02
130,-6X242,281,1,35A1-JC1-02
131,-6X242,281,1,35A1-JC1-02
132,-6X131,193,6,35A1-JC1-02
133,-6X115,300,8,35A1-JC1-02
134,-6X160,477,4,35A1-JC1-02
135,-6X198,319,1,35A1-JC1-02
136,-6X198,319,1,35A1-JC1-02
137,L40X3,1200,2,35A1-JC1-02
138,-6X101,322,4,35A1-JC1-02
139,L40X3,1087,1,35A1-JC1-02
140,L40X3,1087,1,35A1-JC1-02
Q345L63X5,Q345L63X5,141,1,35A1-JC1-02
9M16X50,\M+5B4F8\M+5CBAB\M+5C3B1,143,144,35A1-JC1-02
437,%%C18\M+5CCF8\M+5CFDF\M+5BFD7,143,1,35A1-JC1-02
-145,-35,108,144,35A1-JC1-02
145,Q345-6X188,290,2,35A1-JC1-02
146,L40X3,731,1,35A1-JC1-02
-35,-35,108,143,35A1-JC1-02
147,L40X3,161,4,35A1-JC1-02
Q345-6,-6,148,1,35A1-JC1-02
149,-6X128,200,2,35A1-JC1-02
150,Q345-14X260,265,1,35A1-JC1-02
151,Q345-14X260,265,1,35A1-JC1-02
152,L50X4,305,1,35A1-JC1-02
153,L50X4,305,1,35A1-JC1-02
154,-6X40,40,4,35A1-JC1-02
155,Q345L100X7,320,2,35A1-JC1-02
156,Q345-12X135,350,2,35A1-JC1-02
157,Q345-10X110,110,4,35A1-JC1-02
158,Q345-8X110,120,4,35A1-JC1-02
159,Q345%%C38/%%C25.5,22,2,35A1-JC1-02
158,Q345-14,160,1,35A1-JC1-02
301,Q345L90X6,6823,1,35A1-JC1-04
302A,Q345L90X6,6823,1,35A1-JC1-04
302B,Q345L90X6,6823,1,35A1-JC1-04
303,Q345L90X6,6823,1,35A1-JC1-04
304,L50X4,2959,4,35A1-JC1-04
305,L50X4,2959,4,35A1-JC1-04
306,L40X3,998,8,35A1-JC1-04
307,L50X4,2486,4,35A1-JC1-04
308,L50X4,2486,4,35A1-JC1-04
309,L40X3,863,8,35A1-JC1-04
310,L45X4,2061,4,35A1-JC1-04
311,L45X4,2061,4,35A1-JC1-04
312,L56X4,1114,4,35A1-JC1-04
313,L56X4,1114,4,35A1-JC1-04
314,L56X5,1204,2,35A1-JC1-04
315,L45X4,1302,4,35A1-JC1-04
316,L50X4,1092,2,35A1-JC1-04
317,Q345L90X6,515,4,35A1-JC1-04
4--4,3--3,318,1,35A1-JC1-04
319,-6X138,210,8,35A1-JC1-04
320,-8X139,245,8,35A1-JC1-04
