bar_id,section,length_mm,qty,sheet
101,Q345L75X5,5755.0,1,35A2-JC1-02
102,Q345L75X5,5755.0,1,35A2-JC1-02
103,Q345L75X5,5755.0,1,35A2-JC1-02
104,Q345L75X5,5755.0,1,35A2-JC1-02
105,L40X4,1644.0,4,35A2-JC1-02
106,L40X4,1644.0,4,35A2-JC1-02
107,L40X4,1465.0,4,35A2-JC1-02
108,L40X4,1465.0,4,35A2-JC1-02
109,Q345L63X5,875.0,4,35A2-JC1-02
110,L40X3,1049.0,8,35A2-JC1-02
111,L40X3,775.0,4,35A2-JC1-02
112,L40X3,929.0,8,35A2-JC1-02
113,L40X3,670.0,4,35A2-JC1-02
114,L40X3,937.0,4,35A2-JC1-02
115,L40X3,937.0,4,35A2-JC1-02
116,L40X3,907.0,4,35A2-JC1-02
117,L40X3,907.0,4,35A2-JC1-02
118,L40X3,845.0,4,35A2-JC1-02
119,L40X3,845.0,4,35A2-JC1-02
120,L40X4,345.0,8,35A2-JC1-02
121,L56X4,310.0,4,35A2-JC1-02
122,L50X4,1595.0,1,35A2-JC1-02
123,L50X4,1595.0,1,35A2-JC1-02
124,L50X4,1481.0,1,35A2-JC1-02
125,L50X4,1481.0,1,35A2-JC1-02
126,Q345-6X207,320.0,8,35A2-JC1-02
127,-6X176,197.0,6,35A2-JC1-02
128,-6X260,305.0,1,35A2-JC1-02
129,-6X260,305.0,1,35A2-JC1-02
130,-6X144,330.0,6,35A2-JC1-02
131,-6X244,294.0,1,35A2-JC1-02
132,-6X244,294.0,1,35A2-JC1-02
133,-6X130,341.0,8,35A2-JC1-02
134,-6X172,478.0,4,35A2-JC1-02
135,-6X198,269.0,1,35A2-JC1-02
136,-6X198,269.0,1,35A2-JC1-02
137,L40X3,1256.0,2,35A2-JC1-02
138,-6X150,325.0,4,35A2-JC1-02
139,L40X3,1099.0,1,35A2-JC1-02
140,L40X3,1099.0,1,35A2-JC1-02
141,L40X3,843.0,1,35A2-JC1-02
142,L40X3,843.0,1,35A2-JC1-02
143,Q345L63X5,541.0,1,35A2-JC1-02
144,Q345L63X5,519.0,1,35A2-JC1-02
145,Q345-6X194,288.0,2,35A2-JC1-02
146,L40X3,743.0,1,35A2-JC1-02
147,L40X3,161.0,4,35A2-JC1-02
148,L50X4,351.0,1,35A2-JC1-02
149,-6X127,200.0,2,35A2-JC1-02
150,Q345-14X165,262.0,1,35A2-JC1-02
151,Q345-14X165,262.0,1,35A2-JC1-02
152,L50X4,305.0,1,35A2-JC1-02
153,L50X4,305.0,1,35A2-JC1-02
154,-6X40,40.0,4,35A2-JC1-02
155,Q345L100X7,320.0,2,35A2-JC1-02
156,Q345-12X135,350.0,2,35A2-JC1-02
157,Q345-10X110,110.0,4,35A2-JC1-02
158,Q345-8X110,120.0,4,35A2-JC1-02
159,,20.0,2,35A2-JC1-02
160,Q345-4X80,80.0,4,35A2-JC1-02
