bar_id,section,length_mm,qty,segment
401,Q345L90X6,8014,1,05
402,Q345L90X6,8014,2,05
403,Q345L90X6,8014,1,05
404,L40X3,2822,2,05
405,L40X3,2822,2,05
406,L40X3,2793,2,05
407,L40X3,2793,2,05
408,L40X3,2652,2,05
409,L40X3,2652,2,05
410,L40X3,2516,2,05
411,L40X3,2516,2,05
412,L40X3,2273,2,05
413,L40X3,2273,2,05
414,L50X4,1500,2,05
415,Q345L90X7,550,4,05
416,-6X206,226,4,05
417,L45X4,1374,2,05
418,L45X4,1374,2,05
419,L40X3,2865,2,05
420,L40X3,2865,2,05
421,L40X3,2722,2,05
422,L40X3,2722,2,05
423,L40X3,2583,2,05
424,L40X3,2583,2,05
425,L40X3,2449,2,05
426,L40X3,2449,2,05
427,L40X3,1127,2,05
428,L40X3,1127,2,05
429,L50X4,1500,2,05
430,-6X191,200,2,05
431,-6X187,190,4,05
432,L40X4,2161,2,05
433,-6X94,316,4,05
601,Q345L90X7,6359,1,07
602,Q345L90X7,6359,3,07
603,L56X5,3909,4,07
604,Q345L63X5,5163,4,07
605,Q345L63X5,5163,4,07
606,L40X3,983,8,07
607,L40X3,1747,4,07
608,L40X3,1747,4,07
609,L40X3,1798,8,07
610,L40X3,1082,4,07
611,L40X3,1082,4,07
612,L56X4,4511,4,07
613,L56X4,4511,4,07
614,L40X3,1108,4,07
615,L40X3,1108,4,07
616,L40X3,1428,8,07
617,L40X3,1215,4,07
618,L40X3,1215,4,07
619,Q345L100X8,550,4,07
620,Q345L100X7,550,4,07
621,Q345-6X187,230,8,07
622,-6X205,354,4,07
623,L56X5,2714,2,07
624,L56X5,2714,2,07
625,L56X4,1962,2,07
626,L45X4,1372,4,07
627,-6X137,217,4,07
628,-6X148,316,4,07
701,Q345L80X6,6359,1,08
702,Q345L80X6,6359,2,08
703,Q345L80X6,6359,1,08
704,L50X4,2224,4,08
705,L40X3,2696,2,08
706,L40X3,2696,2,08
707,L40X3,2660,2,08
708,L40X3,2660,2,08
709,L40X3,2523,2,08
710,L40X3,2523,2,08
711,L40X3,2287,2,08
712,L40X3,2287,2,08
713,L50X4,1520,2,08
714,Q345L90X7,550,4,08
715,Q345L80X7,550,4,08
716,-6X181,190,4,08
717,-6X186,346,2,08
718,-6X182,220,4,08
719,L40X3,1320,2,08
720,L40X3,1320,2,08
721,L40X3,2730,2,08
722,L40X3,2730,2,08
723,L40X3,2591,2,08
724,L40X3,2591,2,08
725,L40X3,2457,2,08
726,L40X3,2457,2,08
727,L40X3,1131,2,08
728,L40X3,1131,2,08
729,L50X4,1520,2,08
730,-6X181,190,4,08
731,-6X253,351,2,08
732,-6X182,190,4,08
733,-6X191,201,2,08
734,L45X4,1528,2,08
735,L45X4,1528,2,08
736,L40X4,1110,2,08
737,L40X3,784,4,08
738,-6X126,194,4,08
739,-6X144,302,4,08
740,L40X4,2181,2,08
741,-6X94,302,4,08
801,Q345L90X6,8967,1,09
802,Q345L90X6,8967,2,09
803,Q345L90X6,8967,1,09
804,L50X4,2490,4,09
805,L45X4,3023,2,09
806,L45X4,3023,2,09
807,L40X3,2975,2,09
808,L40X3,2975,2,09
809,L40X3,2821,2,09
810,L40X3,2821,2,09
811,L40X3,2674,2,09
812,L40X3,2674,2,09
813,L40X3,2417,2,09
814,L40X3,2417,2,09
815,L50X4,1500,2,09
816,Q345L100X7,550,4,09
817,Q345L90X7,550,4,09
818,-6X187,190,4,09
819,-6X191,344,2,09
820,-6X206,234,4,09
821,L45X4,1481,2,09
822,L45X4,1481,2,09
823,L40X3,3053,2,09
824,L40X3,3053,2,09
825,L40X3,2897,2,09
826,L40X3,2897,2,09
827,L40X3,2747,2,09
828,L40X3,2747,2,09
829,L40X3,2603,2,09
830,L40X3,2603,2,09
831,L40X4,1202,2,09
832,L40X4,1202,2,09
833,L50X4,1500,2,09
834,-6X190,187,4,09
835,-6X352,263,2,09
836,-6X187,190,4,09
837,-6X195,200,2,09
838,L50X4,1731,2,09
839,L50X4,1731,2,09
840,L40X4,1253,2,09
841,L40X3,875,4,09
842,-6X127,198,4,09
843,-6X144,316,4,09
844,L40X4,2161,2,09
845,-6X94,316,4,09
901,L50X4,2820,4,10
902,L50X4,3394,2,10
903,L50X4,3394,2,10
904,L45X4,3222,2,10
905,L45X4,3222,2,10
906,L56X4,2380,2,10
907,Q345L100X7,550,4,10
908,-6X187,192,4,10
909,-6X184,341,2,10
910,-6X187,195,4,10
911,L45X4,1669,2,10
912,L45X4,1669,2,10
913,L45X4,3420,2,10
914,L45X4,3420,2,10
915,L45X4,1581,2,10
916,L45X4,1581,2,10
917,L56X4,2380,2,10
918,-6X190,187,4,10
919,-6X256,346,2,10
920,-6X187,190,4,10
921,-6X199,266,2,10
922,L50X4,1964,2,10
923,L50X4,1964,2,10
924,L45X4,1418,2,10
925,L40X3,992,4,10
926,-6X127,198,4,10
927,-6X144,316,4,10
928,L50X4,1633,4,10
929,L40X4,2451,2,10
930,-6X134,213,4,10
8867,,3,1,12
3359,,4,1,12
2315,,4,1,12
1188,,8,1,12
4012,,4,1,12
1561,,8,1,12
3806,,4,1,12
1432,,8,1,12
3497,,4,1,12
1302,,8,1,12
2380,,2,1,12
550,,8,1,12
195,,8,1,12
343,,4,1,12
205,,4,1,12
200,,4,1,12
266,,2,1,12
2325,,2,1,12
1687,,2,1,12
1182,,4,1,12
217,,4,1,12
316,,4,1,12
2451,,2,1,12
1633,,4,1,12
212,,4,1,12
