bar_id,section,length_mm,qty,kind
M0001,L160×12,1261,1,LEG
M0002,L160×12,1261,1,LEG
M0003,L160×12,1261,1,LEG
M0004,L160×12,1261,1,LEG
M0005,L160×12,1261,1,LEG
M0006,L125×10,1261,1,LEG
M0007,L125×10,1261,1,LEG
M0008,L125×10,1261,1,LEG
M0009,L125×10,1261,1,LEG
M0010,L100×8,1261,1,LEG
M0011,L100×8,1261,1,LEG
M0012,L100×8,1261,1,LEG
M0013,L100×8,1261,1,LEG
M0014,L160×12,1261,1,LEG
M0015,L160×12,1261,1,LEG
M0016,L160×12,1261,1,LEG
M0017,L160×12,1261,1,LEG
M0018,L160×12,1261,1,LEG
M0019,L125×10,1261,1,LEG
M0020,L125×10,1261,1,LEG
M0021,L125×10,1261,1,LEG
M0022,L125×10,1261,1,LEG
M0023,L100×8,1261,1,LEG
M0024,L100×8,1261,1,LEG
M0025,L100×8,1261,1,LEG
M0026,L100×8,1261,1,LEG
M0027,L160×12,1261,1,LEG
M0028,L160×12,1261,1,LEG
M0029,L160×12,1261,1,LEG
M0030,L160×12,1261,1,LEG
M0031,L160×12,1261,1,LEG
M0032,L125×10,1261,1,LEG
M0033,L125×10,1261,1,LEG
M0034,L125×10,1261,1,LEG
M0035,L125×10,1261,1,LEG
M0036,L100×8,1261,1,LEG
M0037,L100×8,1261,1,LEG
M0038,L100×8,1261,1,LEG
M0039,L100×8,1261,1,LEG
M0040,L160×12,1261,1,LEG
M0041,L160×12,1261,1,LEG
M0042,L160×12,1261,1,LEG
M0043,L160×12,1261,1,LEG
M0044,L160×12,1261,1,LEG
M0045,L125×10,1261,1,LEG
M0046,L125×10,1261,1,LEG
M0047,L125×10,1261,1,LEG
M0048,L125×10,1261,1,LEG
M0049,L100×8,1261,1,LEG
M0050,L100×8,1261,1,LEG
M0051,L100×8,1261,1,LEG
M0052,L100×8,1261,1,LEG
M0053,L90×8,5240,1,HORIZ
M0054,L90×8,5240,1,HORIZ
M0055,L90×8,5240,1,HORIZ
M0056,L90×8,5240,1,HORIZ
M0057,L90×8,4963,1,HORIZ
M0058,L90×8,4963,1,HORIZ
M0059,L90×8,4963,1,HORIZ
M0060,L90×8,4963,1,HORIZ
M0061,L90×8,4686,1,HORIZ
M0062,L90×8,4686,1,HORIZ
M0063,L90×8,4686,1,HORIZ
M0064,L90×8,4686,1,HORIZ
M0065,L90×8,4409,1,HORIZ
M0066,L90×8,4409,1,HORIZ
M0067,L90×8,4409,1,HORIZ
M0068,L90×8,4409,1,HORIZ
M0069,L90×8,4132,1,HORIZ
M0070,L90×8,4132,1,HORIZ
M0071,L90×8,4132,1,HORIZ
M0072,L90×8,4132,1,HORIZ
M0073,L90×8,3855,1,HORIZ
M0074,L90×8,3855,1,HORIZ
M0075,L90×8,3855,1,HORIZ
M0076,L90×8,3855,1,HORIZ
M0077,L90×8,3578,1,HORIZ
